"candidate","Party","Votes","State","const","winner"
"MAKKHAN","Independent",10515,"Rajasthan","TONK-SAWAI MADHOPUR",0
"SURESH","Bahujan Samaj Party",10392,"Rajasthan","TONK-SAWAI MADHOPUR",0
"BABULAL JANGID","Independent",7195,"Rajasthan","TONK-SAWAI MADHOPUR",0
"CHANDAN LAL MEENA","Independent",6522,"Rajasthan","TONK-SAWAI MADHOPUR",0
"RAM PARKASH","Independent",6177,"Rajasthan","TONK-SAWAI MADHOPUR",0
"None of the Above","None of the Above",3664,"Rajasthan","TONK-SAWAI MADHOPUR",0
"GOVIND PRASAD","Independent",3125,"Rajasthan","TONK-SAWAI MADHOPUR",0
"MUKESH","Aam Aadmi Party",2665,"Rajasthan","TONK-SAWAI MADHOPUR",0
"VARIS ALI","awami aamjan party",2361,"Rajasthan","TONK-SAWAI MADHOPUR",0
"DINESH SAINI","Jai Maha Bharath Party",2205,"Rajasthan","TONK-SAWAI MADHOPUR",0
"DINESH","All India Trinamool Congress",2147,"Rajasthan","TONK-SAWAI MADHOPUR",0
"KORI LAL","Independent",1924,"Rajasthan","TONK-SAWAI MADHOPUR",0
"KAMAL KUMAR DHOBI","Independent",1723,"Rajasthan","TONK-SAWAI MADHOPUR",0
"SAMPATTI BAI ALIAS SUNITA VERMA","Independent",1611,"Rajasthan","TONK-SAWAI MADHOPUR",0
"SIYA RAM","Independent",1104,"Rajasthan","TONK-SAWAI MADHOPUR",0
"HARI RAM","Independent",1045,"Rajasthan","TONK-SAWAI MADHOPUR",0
"RAM HANS","Naya Daur Party",867,"Rajasthan","TONK-SAWAI MADHOPUR",0
"RAMESH CHAND","Lok Dal",751,"Rajasthan","TONK-SAWAI MADHOPUR",0
"BHAR SINGH","Socialist Party (India)",701,"Rajasthan","TONK-SAWAI MADHOPUR",0
"BAJARANG LAL","Rashtriya Ahinsa Manch",699,"Rajasthan","TONK-SAWAI MADHOPUR",0
"SANWAR LAL JAT","Bharatiya Janata Party",637874,"Rajasthan","Ajmer",1
"SACHIN PILOT","Indian National Congress",465891,"Rajasthan","Ajmer",0
"None of the Above","None of the Above",12546,"Rajasthan","Ajmer",0
"SANWAR LAL","Nationalist Congress Party",12149,"Rajasthan","Ajmer",0
"JAGDISH","Bahujan Samaj Party",7974,"Rajasthan","Ajmer",0
"SURENDRA KUMAR JAIN","Independent",5184,"Rajasthan","Ajmer",0
"BHANWAR LAL SONI","Independent",4970,"Rajasthan","Ajmer",0
"NARAIN DAS SINDHI","Independent",3518,"Rajasthan","Ajmer",0
"MUKUL MISHRA","Akhil Bharat Hindu Mahasabha",1869,"Rajasthan","Ajmer",0
"JAGDISH SINGH RAWAT","Independent",1374,"Rajasthan","Ajmer",0
"RAMLAL","Akhil Bhartiya Aamjan Party",1040,"Rajasthan","Ajmer",0
"KRISHNA KUMAR DADHICH","Independent",1015,"Rajasthan","Ajmer",0
"ANITA JAIN","Independent",910,"Rajasthan","Ajmer",0
"C R CHOUDHARY","Bharatiya Janata Party",414791,"Rajasthan","Nagaur",1
"DR JYOTI MIRDHA","Indian National Congress",339573,"Rajasthan","Nagaur",0
"HANUMAN BENIWAL","Independent",159980,"Rajasthan","Nagaur",0
"CHHOTURAM","Independent",15234,"Rajasthan","Nagaur",0
"None of the Above","None of the Above",12185,"Rajasthan","Nagaur",0
"HARIRAM MEHRADA","Bahujan Sangharshh Dal",11352,"Rajasthan","Nagaur",0
"ABDUL AZIZ","Bahujan Samaj Party",11239,"Rajasthan","Nagaur",0
"HARIRAM","Independent",8658,"Rajasthan","Nagaur",0
"AYUB KHAN","Samajwadi Party",7300,"Rajasthan","Nagaur",0
"BHANWAR SINGH RATHORE","All India Trinamool Congress",5776,"Rajasthan","Nagaur",0
"SUNIL","Independent",5251,"Rajasthan","Nagaur",0
"NEMICHAND","AARAKSHAN VIRODHI PARTY",4372,"Rajasthan","Nagaur",0
"MULARAM","Independent",4332,"Rajasthan","Nagaur",0
"HANUMANRAM","Aam Aadmi Party",3976,"Rajasthan","Nagaur",0
"P P CHOUDHARY","Bharatiya Janata Party",711772,"Rajasthan","Pali",1
"MUNNI DEVI GODARA","Indian National Congress",312733,"Rajasthan","Pali",0
"None of the Above","None of the Above",17703,"Rajasthan","Pali",0
"BHOJRAJ","Bahujan Samaj Party",16469,"Rajasthan","Pali",0
"JAGDISH","Bahujan Mukti Party",7186,"Rajasthan","Pali",0
"DR. RAMLAL MOHBARSHA","Independent",5794,"Rajasthan","Pali",0
"SHER SINGH SAFA","Independent",5198,"Rajasthan","Pali",0
"MAHESH BHANDARI","Aam Aadmi Party",5031,"Rajasthan","Pali",0
"OM PRAKASH MALI","Independent",3306,"Rajasthan","Pali",0
"SHOBHARAM MALI","Jai Maha Bharath Party",2825,"Rajasthan","Pali",0
"DINESH MEV","Independent",2358,"Rajasthan","Pali",0
"UDARAM","Independent",2058,"Rajasthan","Pali",0
"KANHAIYALAL PAREEK","Independent",1890,"Rajasthan","Pali",0
"DEV KISHAN DEHIYA","Megh Desham Party",1264,"Rajasthan","Pali",0
"GAJENDRASINGH SHEKHAWAT","Bharatiya Janata Party",713515,"Rajasthan","Jodhpur",1
"CHANDRESH KUMARI","Indian National Congress",303464,"Rajasthan","Jodhpur",0
"None of the Above","None of the Above",15085,"Rajasthan","Jodhpur",0
"GOPARAM MEGHWAL","Bahujan Samaj Party",13511,"Rajasthan","Jodhpur",0
"VIGYAN MODI","Aam Aadmi Party",8552,"Rajasthan","Jodhpur",0
"DHANRAJ GEHLOT","Jai Maha Bharath Party",7104,"Rajasthan","Jodhpur",0
"RUGHA RAM CHOUDHARY ADVOCATE","Independent",4855,"Rajasthan","Jodhpur",0
"SOHAN LAL GOYAL","Independent",3764,"Rajasthan","Jodhpur",0
"MEHMOODA BEGAM ABBASI","Independent",2631,"Rajasthan","Jodhpur",0
"RAM DAYAL","Independent",2321,"Rajasthan","Jodhpur",0
"RAVI GARG","Bharat Nav Nirman Party",1206,"Rajasthan","Jodhpur",0
"DUNGAR MAL PUNIYA","Independent",1041,"Rajasthan","Jodhpur",0
"JETHARAM MEGHWAL","Independent",831,"Rajasthan","Jodhpur",0
"JAYDA","Independent",718,"Rajasthan","Jodhpur",0
"COL. SONA RAM","Bharatiya Janata Party",488747,"Rajasthan","Barmer",1
"JASWANT SINGH","Independent",401286,"Rajasthan","Barmer",0
"HARISH CHAUDHARY","Indian National Congress",220881,"Rajasthan","Barmer",0
"RAMA RAM","Independent",17563,"Rajasthan","Barmer",0
"None of the Above","None of the Above",15889,"Rajasthan","Barmer",0
"MANGILAL GAUR","Aam Aadmi Party",14906,"Rajasthan","Barmer",0
"MASTER BHAIRARAM MEGHWAL","Independent",13924,"Rajasthan","Barmer",0
"MALAM SINGH","Bahujan Samaj Party",12883,"Rajasthan","Barmer",0
"KHET SINGH RAJPUROHIT","Independent",12366,"Rajasthan","Barmer",0
"POPATRAM","Independent",7557,"Rajasthan","Barmer",0
"BABULAL","Independent",6737,"Rajasthan","Barmer",0
"MAHANT ARJUNPURI","Independent",6380,"Rajasthan","Barmer",0
"DEVJI PATEL","Bharatiya Janata Party",580508,"Rajasthan","Jalore",1
"ANJANA UDAI LAL","Indian National Congress",199363,"Rajasthan","Jalore",0
"S. BUTA SINGH","Independent",175344,"Rajasthan","Jalore",0
"OTARAM","Bahujan Samaj Party",29998,"Rajasthan","Jalore",0
"SHANKAR LAL DARJI","Independent",16399,"Rajasthan","Jalore",0
"CHHAGANARAM / PRHALAD","Hindustan Janta Party",15811,"Rajasthan","Jalore",0
"MAHENDRA K. CHOUDHARY","Independent",13008,"Rajasthan","Jalore",0
"None of the Above","None of the Above",11183,"Rajasthan","Jalore",0
"MOOLA RAM","Independent",10316,"Rajasthan","Jalore",0
"NARAYAN LAL","Independent",9875,"Rajasthan","Jalore",0
"MANARA RAM","Independent",6146,"Rajasthan","Jalore",0
"BHANWAR LAL WAGHELA","Independent",4817,"Rajasthan","Jalore",0
"CHHAGANARAM / BHALARAM","Bahujan Mukti Party",3960,"Rajasthan","Jalore",0
"NARINGA RAM YADAV","Independent",3200,"Rajasthan","Jalore",0
"RAN SINGH RAJPUROHIT","Jago Party",2731,"Rajasthan","Jalore",0
"TARUN KUMAR","Independent",2596,"Rajasthan","Jalore",0
"SUKH DEV","awami aamjan party",2017,"Rajasthan","Jalore",0
"ARJUNLAL MEENA","Bharatiya Janata Party",660373,"Rajasthan","Udaipur",1
"RAGHUVIR SINGH","Indian National Congress",423611,"Rajasthan","Udaipur",0
"MEGHRAJ TAWAR","Communist Party of India",33743,"Rajasthan","Udaipur",0
"None of the Above","None of the Above",26685,"Rajasthan","Udaipur",0
"LAXMAN BHIL","Bahujan Samaj Party",20690,"Rajasthan","Udaipur",0
"DR. VELARAM MEENA","Aam Aadmi Party",11449,"Rajasthan","Udaipur",0
"LAXMILAL GAMETI","Socialist Party (India)",6680,"Rajasthan","Udaipur",0
"GOTAM LAL MEENA","Communist Party of India  (Marxist-Leninist)  (Liberation)",5442,"Rajasthan","Udaipur",0
"PRABHU LAL MEENA","Bahujan Mukti Party",4529,"Rajasthan","Udaipur",0
"MANSHANKAR NINAMA","Bharatiya Janata Party",577433,"Rajasthan","Banswara",1
"RESHAM MALVIYA","Indian National Congress",485517,"Rajasthan","Banswara",0
"None of the Above","None of the Above",34404,"Rajasthan","Banswara",0
"VIJAYPAL","Bahujan Samaj Party",27886,"Rajasthan","Banswara",0
"BHANJI BHAI","Janata Dal  (United)",21760,"Rajasthan","Banswara",0
"HARISH RAWAT","Aam Aadmi Party",13647,"Rajasthan","Banswara",0
"SOMA LAL KOTED","Bahujan Mukti Party",10541,"Rajasthan","Banswara",0
"CHANDRA PRAKASH JOSHI","Bharatiya Janata Party",703236,"Rajasthan","Chittorgarh",1
"GIRIJA VYAS","Indian National Congress",386379,"Rajasthan","Chittorgarh",0
"RADHA DEVI","Communist Party of India",21593,"Rajasthan","Chittorgarh",0
"None of the Above","None of the Above",20034,"Rajasthan","Chittorgarh",0
"YASHWANT PURI","Independent",12675,"Rajasthan","Chittorgarh",0
"DR. NARENDRA KUMAR GUPTA","Aam Aadmi Party",5939,"Rajasthan","Chittorgarh",0
"MOHAMMAD IMTIYAZ","Independent",4971,"Rajasthan","Chittorgarh",0
"SANJAY KUMAR","Bahujan Samaj Party",4467,"Rajasthan","Chittorgarh",0
"BHANWAR LAL","Independent",3263,"Rajasthan","Chittorgarh",0
"BABU MEGHWAL","Independent",3069,"Rajasthan","Chittorgarh",0
"GULAB CHAND SAHLOT","Independent",1692,"Rajasthan","Chittorgarh",0
"SHANTI LAL TRIVEDI","Communist Party of India  (Marxist-Leninist)  (Liberation)",1564,"Rajasthan","Chittorgarh",0
"MANGI LAL SOLANKI","Bahujan Mukti Party",1291,"Rajasthan","Chittorgarh",0
"VIJAYA RAY","Rajasthan Vikas Party",1240,"Rajasthan","Chittorgarh",0
"PRABHU LAL GUJJAR","Jai Maha Bharath Party",1216,"Rajasthan","Chittorgarh",0
"HARIOM SINGH RATHORE","Bharatiya Janata Party",644794,"Rajasthan","Rajsamand",1
"GOPAL SINGH SHEKHAWAT","Indian National Congress",249089,"Rajasthan","Rajsamand",0
"None of the Above","None of the Above",17182,"Rajasthan","Rajsamand",0
"NEERU RAM JAT","Bahujan Samaj Party",14579,"Rajasthan","Rajsamand",0
"SANJAY CHOUDHARY","Independent",12479,"Rajasthan","Rajsamand",0
"IDRISH MOHAMMAD","Jago Party",10407,"Rajasthan","Rajsamand",0
"SURYA BHAWANI SINGH CHAWARA","Independent",10160,"Rajasthan","Rajsamand",0
"BHANWAR LAL MALI","Independent",6418,"Rajasthan","Rajsamand",0
"HEERA KATHAT","Independent",5186,"Rajasthan","Rajsamand",0
"PRADEEP SINGH BHATNAGAR","Aam Aadmi Party",4897,"Rajasthan","Rajsamand",0
"GULAM FARID","Samajwadi Party",2977,"Rajasthan","Rajsamand",0
"KHIMARAM SALVI","Independent",2559,"Rajasthan","Rajsamand",0
"LAXMAN","Jai Maha Bharath Party",1392,"Rajasthan","Rajsamand",0
"SUBHASH BAHERIA","Bharatiya Janata Party",630317,"Rajasthan","Bhilwara",1
"ASHOK CHANDNA","Indian National Congress",384053,"Rajasthan","Bhilwara",0
"None of the Above","None of the Above",19698,"Rajasthan","Bhilwara",0
"GOVIND KUMAR BAIRWA","Bahujan Samaj Party",15088,"Rajasthan","Bhilwara",0
"SATYA PRAKASH SHARMA","Independent",11982,"Rajasthan","Bhilwara",0
"CHANDRA PRAKASH GOCHER","Bharatiya Yuva Shakti",10344,"Rajasthan","Bhilwara",0
"RATAN LAL DHOBI","Independent",7110,"Rajasthan","Bhilwara",0
"SURENDAR SINGH RANAWAT","Independent",6737,"Rajasthan","Bhilwara",0
"SUNIL AGIWAL","Aam Aadmi Party",5909,"Rajasthan","Bhilwara",0
"RADHY SHYAM VAISHNAV","Bahujan Sangharshh Dal",5684,"Rajasthan","Bhilwara",0
"SHYAM LAL SALVI","Independent",5374,"Rajasthan","Bhilwara",0
"ASLAM SHEKH ADVOCATE","Independent",1794,"Rajasthan","Bhilwara",0
"OM BIRLA","Bharatiya Janata Party",644822,"Rajasthan","Kota",1
"IJYARAJ SINGH","Indian National Congress",444040,"Rajasthan","Kota",0
"ASHOK KUMAR JAIN","Aam Aadmi Party",16981,"Rajasthan","Kota",0
"None of the Above","None of the Above",12760,"Rajasthan","Kota",0
"ASHOK KUMAR","Bahujan Samaj Party",10862,"Rajasthan","Kota",0
"AJMAT ALI","Bharatiya Yuva Shakti",7559,"Rajasthan","Kota",0
"SHYAM SUNDER SHARMA","Independent",5091,"Rajasthan","Kota",0
"MOHAN LAL MAHAWAR","Independent",4822,"Rajasthan","Kota",0
"MAHENDRA KUMAR","Independent",2307,"Rajasthan","Kota",0
"TEJPAL","Independent",1825,"Rajasthan","Kota",0
"ASFAK ALI","Independent",1713,"Rajasthan","Kota",0
"RAJESH KUMAR","Jai Maha Bharath Party",1168,"Rajasthan","Kota",0
"MAHESH KUMAR RANIWAL","AARAKSHAN VIRODHI PARTY",1010,"Rajasthan","Kota",0
"DUSHYANT SINGH","Bharatiya Janata Party",676102,"Rajasthan","JHALAWAR-BARAN",1
"PRAMOD BHAYA","Indian National Congress",394556,"Rajasthan","JHALAWAR-BARAN",0
"CHANDRA SINGH","Bahujan Samaj Party",23587,"Rajasthan","JHALAWAR-BARAN",0
"None of the Above","None of the Above",19064,"Rajasthan","JHALAWAR-BARAN",0
"JAVED KHAN","Bharatiya Yuva Shakti",13617,"Rajasthan","JHALAWAR-BARAN",0
"SULEMAN PUTA","Independent",11602,"Rajasthan","JHALAWAR-BARAN",0
"BALDAR","Independent",7836,"Rajasthan","JHALAWAR-BARAN",0
"PREM DAS RAI","Sikkim Democratic Front",163698,"Sikkim","Sikkim",1
"TEK NATH DHAKAL","Sikkim Krantikari Morcha",121956,"Sikkim","Sikkim",0
"NAR BAHADUR KHATIWADA","Bharatiya Janata Party",7279,"Sikkim","Sikkim",0
"AKAR DHOJ LIMBU","Indian National Congress",7189,"Sikkim","Sikkim",0
"None of the Above","None of the Above",4332,"Sikkim","Sikkim",0
"KAUSHAL RAI","Aam Aadmi Party",2541,"Sikkim","Sikkim",0
"NAKUL DAS RAI","All India Trinamool Congress",1972,"Sikkim","Sikkim",0
"VENUGOPAL.P.(DR)","All India Anna Dravida Munnetra Kazhagam",628499,"Tamil Nadu","Thiruvallur",1
"RAVIKUMAR.D","Viduthalai Chiruthaigal Katchi",305069,"Tamil Nadu","Thiruvallur",0
"YUVARAJ.V","Desiya Murpokku Dravida Kazhagam",204734,"Tamil Nadu","Thiruvallur",0
"JAYAKUMAR.M","Indian National Congress",43960,"Tamil Nadu","Thiruvallur",0
"None of the Above","None of the Above",23598,"Tamil Nadu","Thiruvallur",0
"KANNAN A.S","Communist Party of India",13794,"Tamil Nadu","Thiruvallur",0
"SATHYAMURTHY.C","Bahujan Samaj Party",11137,"Tamil Nadu","Thiruvallur",0
"BALAMURUGAN.B","Aam Aadmi Party",8260,"Tamil Nadu","Thiruvallur",0
"VENUGOPAL.P","Independent",3085,"Tamil Nadu","Thiruvallur",0
"RAVIKUMAR.M","Independent",2966,"Tamil Nadu","Thiruvallur",0
"SRINIVASAN.D","Samajwadi Party",2642,"Tamil Nadu","Thiruvallur",0
"VETRISELVAM.K","Independent",2441,"Tamil Nadu","Thiruvallur",0
"CHANDRASEKARAN.M","Independent",1597,"Tamil Nadu","Thiruvallur",0
"DOSS.R","Independent",1596,"Tamil Nadu","Thiruvallur",0
"SURESH KUMAR.S","Independent",1062,"Tamil Nadu","Thiruvallur",0
"VENKATESH BABU .T.G","All India Anna Dravida Munnetra Kazhagam",406704,"Tamil Nadu","Chennai North",1
"GIRIRAJAN .R","Dravida Munnetra Kazhagam",307000,"Tamil Nadu","Chennai North",0
"SOUNDARAPANDIAN .M","Desiya Murpokku Dravida Kazhagam",86989,"Tamil Nadu","Chennai North",0
"BIJU CHACKO","Indian National Congress",24190,"Tamil Nadu","Chennai North",0
"VASUKI .U","Communist Party of India  (Marxist)",23751,"Tamil Nadu","Chennai North",0
"None of the Above","None of the Above",17472,"Tamil Nadu","Chennai North",0
"NIJAM MOHAIDEEN .M","SOCIAL DEMOCRATIC PARTY OF INDIA",14585,"Tamil Nadu","Chennai North",0
"SRINIVASON .S","Aam Aadmi Party",6819,"Tamil Nadu","Chennai North",0
"JANARTHANAN .J","Bahujan Samaj Party",4960,"Tamil Nadu","Chennai North",0
"PAUL KANAGARAJ. R.C","Independent",1589,"Tamil Nadu","Chennai North",0
"KOLANGI. M","Independent",1494,"Tamil Nadu","Chennai North",0
"KESAVAN. L","Independent",1198,"Tamil Nadu","Chennai North",0
"VIJAYA KUMAR .K","Tamil Nadu Makkal Congress",1145,"Tamil Nadu","Chennai North",0
"SRINIVASAN. J","Independent",964,"Tamil Nadu","Chennai North",0
"SUNDAR. G","Independent",870,"Tamil Nadu","Chennai North",0
"MARIMUTHU. P","Independent",777,"Tamil Nadu","Chennai North",0
"SIVASHANMUGA PERUMAL. S","Independent",712,"Tamil Nadu","Chennai North",0
"RAVI PARIYANAR. D","Independent",600,"Tamil Nadu","Chennai North",0
"BABU MAILAN .A","Lok Satta Party",569,"Tamil Nadu","Chennai North",0
"MARIRAJ. T.R","Independent",559,"Tamil Nadu","Chennai North",0
"SIVAKUMAR . V","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",502,"Tamil Nadu","Chennai North",0
"CHARAVANAN. M.P.","Independent",475,"Tamil Nadu","Chennai North",0
"DEEPAK. C","Independent",475,"Tamil Nadu","Chennai North",0
"SENTHIL KUMAR. K","Independent",472,"Tamil Nadu","Chennai North",0
"SEETHA MALLAR. A","Independent",469,"Tamil Nadu","Chennai North",0
"PRABHAKARAN. K","Independent",457,"Tamil Nadu","Chennai North",0
"GIRIRAJ. D","Independent",414,"Tamil Nadu","Chennai North",0
"PAULRAJ .T","Makkal Manadu Katchi",387,"Tamil Nadu","Chennai North",0
"DEVARAJ. G","Independent",386,"Tamil Nadu","Chennai North",0
"MAHENDRAN. K.P.P.","Independent",343,"Tamil Nadu","Chennai North",0
"RAJA. B","Independent",337,"Tamil Nadu","Chennai North",0
"BALAJI. E","Independent",311,"Tamil Nadu","Chennai North",0
"MOHAMED MAJASUDDIN","Independent",302,"Tamil Nadu","Chennai North",0
"DURAI BABU. R","Independent",297,"Tamil Nadu","Chennai North",0
"RAMESH KANNAN .G","Republican Party of India",257,"Tamil Nadu","Chennai North",0
"RAMASAMY. M.D.","Independent",234,"Tamil Nadu","Chennai North",0
"RAJ. N","Independent",216,"Tamil Nadu","Chennai North",0
"RAVIKUMAR. T","Independent",211,"Tamil Nadu","Chennai North",0
"PONRAJ. P","Independent",208,"Tamil Nadu","Chennai North",0
"ANBAZHAGAN .G","Independent",208,"Tamil Nadu","Chennai North",0
"YOGARAJ. S","Independent",206,"Tamil Nadu","Chennai North",0
"DR. J. JAYAVARDHAN","All India Anna Dravida Munnetra Kazhagam",438404,"Tamil Nadu","Chennai South",1
"T.K.S.ELANGOVAN","Dravida Munnetra Kazhagam",301779,"Tamil Nadu","Chennai South",0
"LA.GANESAN","Bharatiya Janata Party",256786,"Tamil Nadu","Chennai South",0
"S.V. RAMANI","Indian National Congress",24420,"Tamil Nadu","Chennai South",0
"None of the Above","None of the Above",20402,"Tamil Nadu","Chennai South",0
"JAHIR HUSSAIN. M","Aam Aadmi Party",17312,"Tamil Nadu","Chennai South",0
"A. JAIGANESH","Lok Satta Party",4501,"Tamil Nadu","Chennai South",0
"GANESAN  S","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",1730,"Tamil Nadu","Chennai South",0
"K.R.RAMASWAMY@TRAFFIC RAMASWAMY","Independent",1670,"Tamil Nadu","Chennai South",0
"V. BALAJI","Bahujan Samaj Party",1540,"Tamil Nadu","Chennai South",0
"S. SEETHALAKSHMI","Tamil Nadu Makkal Congress",1303,"Tamil Nadu","Chennai South",0
"T.K. RAMAJAYAM","Independent",1194,"Tamil Nadu","Chennai South",0
"A. IRUDAYADASS","Independent",963,"Tamil Nadu","Chennai South",0
"KANTHAVEL  D","Independent",878,"Tamil Nadu","Chennai South",0
"S. PRAGASAM","Independent",648,"Tamil Nadu","Chennai South",0
"T. PONNUSAMY","Independent",539,"Tamil Nadu","Chennai South",0
"(KUPPAL)G.DEVADOSS","Independent",514,"Tamil Nadu","Chennai South",0
"K. SHANKAR","Independent",504,"Tamil Nadu","Chennai South",0
"COLONEL KADAR BASHA","Independent",434,"Tamil Nadu","Chennai South",0
"S. BALAMURALI","Independent",420,"Tamil Nadu","Chennai South",0
"S.S.RADHAKRISHNAN","Independent",376,"Tamil Nadu","Chennai South",0
"R. KANDASAMY@BABU","Ambedkar People's Movement",374,"Tamil Nadu","Chennai South",0
"T. DHANASEKAR","National Organisation Congress",332,"Tamil Nadu","Chennai South",0
"K. MANI","Janata Dal  (United)",275,"Tamil Nadu","Chennai South",0
"PON. SIVA KUMAR","Independent",274,"Tamil Nadu","Chennai South",0
"J.S. MAHALINGAM","Independent",269,"Tamil Nadu","Chennai South",0
"S. BALU","Independent",264,"Tamil Nadu","Chennai South",0
"S. CHARUMATHI","Independent",261,"Tamil Nadu","Chennai South",0
"BHAVANI JANAKIRAM","Independent",247,"Tamil Nadu","Chennai South",0
"JOSEPH GUNASEKAR","Independent",245,"Tamil Nadu","Chennai South",0
"B. KUMAR SRI SRI","Independent",236,"Tamil Nadu","Chennai South",0
"S. DEVADOSS","Independent",235,"Tamil Nadu","Chennai South",0
"M. ARUMUGAM","Independent",219,"Tamil Nadu","Chennai South",0
"R. RAVICHANDRAN","Independent",216,"Tamil Nadu","Chennai South",0
"S. SESU RAJ","Independent",201,"Tamil Nadu","Chennai South",0
"M. JAYARAMAN","Independent",194,"Tamil Nadu","Chennai South",0
"THANGARAJ","Independent",189,"Tamil Nadu","Chennai South",0
"S. PARTHIBAN","Independent",175,"Tamil Nadu","Chennai South",0
"S. RAJESHWARI","Independent",155,"Tamil Nadu","Chennai South",0
"RAJINI NIVETHA","Independent",142,"Tamil Nadu","Chennai South",0
"A. MAGESH","Independent",121,"Tamil Nadu","Chennai South",0
"LOGANATHAN","Independent",117,"Tamil Nadu","Chennai South",0
"S. VEERAMANI","Independent",105,"Tamil Nadu","Chennai South",0
"S.R. VIJAYAKUMAR","All India Anna Dravida Munnetra Kazhagam",333296,"Tamil Nadu","Chennai central",1
"DAYANIDHI MARAN","Dravida Munnetra Kazhagam",287455,"Tamil Nadu","Chennai central",0
"J. CONSTANDINE RAVINDRAN","Desiya Murpokku Dravida Kazhagam",114798,"Tamil Nadu","Chennai central",0
"C.D. MEYYAPPAN","Indian National Congress",25981,"Tamil Nadu","Chennai central",0
"None of the Above","None of the Above",21959,"Tamil Nadu","Chennai central",0
"J. PRABHAKAR","Aam Aadmi Party",19553,"Tamil Nadu","Chennai central",0
"MURALIKRISHNAN (A) SAMARAN","Bahujan Samaj Party",2531,"Tamil Nadu","Chennai central",0
"M. MOHAMED RASIK","Independent",2019,"Tamil Nadu","Chennai central",0
"S.D. KRISHNAKUMAR","Republican Party of India (A)",1528,"Tamil Nadu","Chennai central",0
"T. RAVIKUMAR","Independent",973,"Tamil Nadu","Chennai central",0
"AUDITOR GOPINARAYANAN","Makkal Manadu Katchi",805,"Tamil Nadu","Chennai central",0
"M. MURUGAN","Independent",697,"Tamil Nadu","Chennai central",0
"P. AHILA","Independent",579,"Tamil Nadu","Chennai central",0
"P. MANIMARAN","Independent",391,"Tamil Nadu","Chennai central",0
"ARUNDHATHI JAIGANESH (A) S.JAIGANESH","Independent",390,"Tamil Nadu","Chennai central",0
"B. AMBETH VENKATESH","Independent",390,"Tamil Nadu","Chennai central",0
"K.RAVEENDRAN","Independent",369,"Tamil Nadu","Chennai central",0
"M. PRABAKARAN","Independent",336,"Tamil Nadu","Chennai central",0
"V. CHANDRAMOHAN","Independent",324,"Tamil Nadu","Chennai central",0
"D. BABU","Independent",261,"Tamil Nadu","Chennai central",0
"D. RAMESH","Independent",259,"Tamil Nadu","Chennai central",0
"RAMACHANDRAN, K.N. THIRU","All India Anna Dravida Munnetra Kazhagam",545820,"Tamil Nadu","Sriperumbudur",1
"JAGATHRAKSHAKAN, S. THIRU","Dravida Munnetra Kazhagam",443174,"Tamil Nadu","Sriperumbudur",0
"MASILAMANI, R. (DR).","Marumalarchi Dravida Munnetra Kazhagam",187094,"Tamil Nadu","Sriperumbudur",0
"ARUL ANBARASU","Indian National Congress",39015,"Tamil Nadu","Sriperumbudur",0
"None of the Above","None of the Above",27676,"Tamil Nadu","Sriperumbudur",0
"VASIGARAN, S.A.N. THIRU","Aam Aadmi Party",18963,"Tamil Nadu","Sriperumbudur",0
